tour,code_departement,departement,code_circonscription,nom,prenom,code_nuance,voix
1,01,AIN,1,MORNET,LIONEL,COM,1863.0
1,01,AIN,1,LEFER,J.CLAUDE,DIV,0.0
1,01,AIN,1,GIRET,NICOLE,DIV,1193.0
1,01,AIN,1,PETIOT,YVES,EXG,720.0
1,01,AIN,1,MORTEL,J.FRANCOIS,EXG,574.0
1,01,AIN,1,AULAGNE,BERNARD,FRN,4816.0
1,01,AIN,1,FROMONT,PIERRE,MAJ,11300.0
1,01,AIN,1,BOYON,JACQUES,RPR,21779.0
1,01,AIN,1,ANTONI DE,MARC,VEC,4620.0
1,01,AIN,1,abstentions,,,24978.0
1,01,AIN,1,blancs_nuls,,,2464.0
1,01,AIN,2,ARPIN,GEORGES,COM,3674.0
1,01,AIN,2,ALCARAZ,JEAN,FRN,8674.0
1,01,AIN,2,GUICHON,LUCIEN,RPR,21481.0
1,01,AIN,2,DRUT GORJU,M.ELIANE,SOC,6441.0
1,01,AIN,2,GILBERT,ERIC,VEC,5896.0
1,01,AIN,2,abstentions,,,24434.0
1,01,AIN,2,blancs_nuls,,,2464.0
1,01,AIN,3,MERLO,J.PIERRE,COM,2655.0
1,01,AIN,3,VERD,J.MICHEL,DIV,1524.0
1,01,AIN,3,WYSSA,OLIVIER,FRN,5519.0
1,01,AIN,3,DELAVIERE,ALBERT,GEC,4194.0
1,01,AIN,3,CARROZ,PIERRE,SOC,7644.0
1,01,AIN,3,MILLON,CHARLES,UDF,22949.0
1,01,AIN,3,abstentions,,,24252.0
1,01,AIN,3,blancs_nuls,,,2424.0
1,01,AIN,4,DESMARIS,CHRISTIAN,COM,2816.0
1,01,AIN,4,AUBERT,DOMINIQUE,DIV,2042.0
1,01,AIN,4,CLAVEL,ANDRE,FRN,9203.0
1,01,AIN,4,MOUSSEL,ALAIN,GEC,4486.0
1,01,AIN,4,RAYMOND,MICHEL,SOC,8408.0
1,01,AIN,4,VOISIN,MICHEL,UDF,25753.0
1,01,AIN,4,abstentions,,,28638.0
1,01,AIN,4,blancs_nuls,,,3314.0
1,02,AISNE,1,LACOMBE,DOMINIQUE,COM,3393.0
1,02,AISNE,1,BERDAL,MICHELLE,DIV,1914.0
1,02,AISNE,1,JARNO,PHILIPPE,DVD,831.0
1,02,AISNE,1,PERNELLE,J.LOUP,EXG,1703.0
1,02,AISNE,1,SALECK,MICHEL,FRN,5776.0
1,02,AISNE,1,LAMANT,J.CLAUDE,RPR,19147.0
1,02,AISNE,1,DOSIERE,RENE,SOC,11101.0
1,02,AISNE,1,DEGEMBE,PATRICK,VEC,2968.0
1,02,AISNE,1,abstentions,,,21164.0
1,02,AISNE,1,blancs_nuls,,,2565.0
1,02,AISNE,2,LE MEUR,DANIEL,COM,10441.0
1,02,AISNE,2,LEMIRE,CORINNE,DIV,2239.0
1,02,AISNE,2,DUCAMP,RAYMOND,DVD,876.0
1,02,AISNE,2,JOURNEL,YVES,DVD,1106.0
1,02,AISNE,2,HUEL,RENE,DVD,713.0
1,02,AISNE,2,HERNOUX,DIDIER,EXG,807.0
1,02,AISNE,2,HURIEZ,DANIEL,EXG,1089.0
1,02,AISNE,2,PIQUET,FRANCOIS,FRN,5788.0
1,02,AISNE,2,BOUTREUX,J.ROBERT,GEC,2510.0
1,02,AISNE,2,MENNESSON,YVES,SOC,4281.0
1,02,AISNE,2,BAUR,CHARLES,UDF,18133.0
1,02,AISNE,2,abstentions,,,21966.0
1,02,AISNE,2,blancs_nuls,,,2992.0
1,02,AISNE,3,CORNIAUX,MICHEL,COM,4822.0
1,02,AISNE,3,FLAMANT,MICHEL,DIV,1239.0
1,02,AISNE,3,FALAVIGNA,H.MICHEL,DVD,437.0
1,02,AISNE,3,PERONNE,CLAUDE,DVD,712.0
1,02,AISNE,3,GOARIN,RENE,FRN,4656.0
1,02,AISNE,3,CABROL,CHRISTIAN,RPR,20379.0
1,02,AISNE,3,BALLIGAND,J.PIERRE,SOC,19408.0
1,02,AISNE,3,MEURICE,JOSE,VEC,1991.0
1,02,AISNE,3,abstentions,,,18978.0
1,02,AISNE,3,blancs_nuls,,,2471.0
1,02,AISNE,4,CARREAU,MICHEL,COM,5274.0
1,02,AISNE,4,GROSZ,ARLETTE,DIV,2100.0
1,02,AISNE,4,VALLAS,PATRICK,DVD,2044.0
1,02,AISNE,4,GARAULT,J.CLAUDE,EXG,1720.0
1,02,AISNE,4,SAINT JUST DE,WALLERAND,FRN,7640.0
1,02,AISNE,4,LEFRANC,BERNARD,SOC,12504.0
1,02,AISNE,4,BOUQUILLON,EMMANUELLE,UDF,14853.0
1,02,AISNE,4,COLPIN,ALAIN,VEC,3165.0
1,02,AISNE,4,abstentions,,,25434.0
1,02,AISNE,4,blancs_nuls,,,2945.0
1,02,AISNE,5,ROUSSEAU,MARCEL,COM,4196.0
1,02,AISNE,5,TROUBADY,ELIANE,DIV,2026.0
1,02,AISNE,5,MOUILLESEAUX,MICHEL,DVD,750.0
1,02,AISNE,5,HELLEU,AMANDA,EXG,1270.0
