tour,code_departement,departement,code_circonscription,nom,prenom,code_nuance,voix
1,01,AIN,1.0,MORNET,LIONEL,COM,2185.0
1,01,AIN,1.0,MARQUIS,J.CLAUDE,DVD,2583.0
1,01,AIN,1.0,LE MAOUT,HERVE,DVD,1310.0
1,01,AIN,1.0,BONNOT,GILBERT,DVG,69.0
1,01,AIN,1.0,DUTHU,MONIQUE,ECO,2455.0
1,01,AIN,1.0,FAVRE,BERNARD,ECO,554.0
1,01,AIN,1.0,PETIOT,YVES,EXG,1047.0
1,01,AIN,1.0,GERBAUD,CAROLE,EXG,569.0
1,01,AIN,1.0,VEILLEROT,ANNICK,FRN,7479.0
1,01,AIN,1.0,BOYON,JACQUES,RPR,14048.0
1,01,AIN,1.0,GODIN,ANDRE,SOC,14666.0
1,01,AIN,1.0,abstentions,,,26021.0
1,01,AIN,1.0,blancs_nuls,,,2663.0
1,01,AIN,2.0,ARPIN,GEORGES,COM,3846.0
1,01,AIN,2.0,FERRARIO,PIERRE,DVD,1624.0
1,01,AIN,2.0,ECKEL,DIDIER,DVG,692.0
1,01,AIN,2.0,JOSSERAND,OLIVIER,DVG,778.0
1,01,AIN,2.0,LEBRETON,PHILIPPE,ECO,1847.0
1,01,AIN,2.0,GRANGE,DANIELLE,EXG,1581.0
1,01,AIN,2.0,CHAVET,RAOUL,EXG,429.0
1,01,AIN,2.0,CLAVEL,ANDRE,FRN,11265.0
1,01,AIN,2.0,GUICHON,LUCIEN,RPR,14523.0
1,01,AIN,2.0,BOLLINI,JOCELYNE,SOC,10083.0
1,01,AIN,2.0,abstentions,,,26140.0
1,01,AIN,2.0,blancs_nuls,,,2554.0
1,01,AIN,3.0,MERLO,J.PIERRE,COM,3034.0
1,01,AIN,3.0,GAUDIN,L.ALAIN,DVD,1362.0
1,01,AIN,3.0,VIRARD,PHILIPPE,DVG,3079.0
1,01,AIN,3.0,GILBERT,ERIC,ECO,8906.0
1,01,AIN,3.0,CASELLAS,HENRI,ECO,1751.0
1,01,AIN,3.0,GOUY PAILLIER,HENRI,EXG,1459.0
1,01,AIN,3.0,WYSSA,OLIVIER,FRN,6574.0
1,01,AIN,3.0,MILLON,CHARLES,UDF,18054.0
1,01,AIN,3.0,abstentions,,,26129.0
1,01,AIN,3.0,blancs_nuls,,,2293.0
1,01,AIN,4.0,DOS SANTOS,MARCELLE,COM,2591.0
1,01,AIN,4.0,DOMMANGET,GILLES,DVD,1667.0
1,01,AIN,4.0,BIAJOUX,PAUL,ECO,1348.0
1,01,AIN,4.0,GAUCHER,J.PAUL,ECO,1982.0
1,01,AIN,4.0,VERICEL,DANIEL,EXG,1033.0
1,01,AIN,4.0,LACHEISSERIE DE,J.LOUP,FRN,10836.0
1,01,AIN,4.0,RAYMOND,MICHEL,SOC,14630.0
1,01,AIN,4.0,VOISIN,MICHEL,UDF,20388.0
1,01,AIN,4.0,abstentions,,,29594.0
1,01,AIN,4.0,blancs_nuls,,,3167.0
1,02,AISNE,1.0,LACOMBE,DOMINIQUE,COM,3697.0
1,02,AISNE,1.0,VIGNAL,MICHEL,DVG,3537.0
1,02,AISNE,1.0,SAMYN,JACQUES,ECO,1353.0
1,02,AISNE,1.0,PICQUEUR,DOMINIQUE,EXG,2712.0
1,02,AISNE,1.0,SALECK,MICHEL,FRN,7023.0
1,02,AISNE,1.0,LAMANT,J.CLAUDE,RPR,13625.0
1,02,AISNE,1.0,DOSIERE,RENE,SOC,15072.0
1,02,AISNE,1.0,abstentions,,,19395.0
1,02,AISNE,1.0,blancs_nuls,,,2373.0
1,02,AISNE,2.0,SUCHECKI,ALIX,COM,7080.0
1,02,AISNE,2.0,FROISSART,MICHEL,DVD,1135.0
1,02,AISNE,2.0,BOUTREUX POTEL,AGNES,ECO,2643.0
1,02,AISNE,2.0,HERNOUX,DIDIER,EXG,1474.0
1,02,AISNE,2.0,ROGER,BERNARD,EXG,969.0
1,02,AISNE,2.0,PIQUET,FRANCOIS,FRN,8574.0
1,02,AISNE,2.0,GRZEGRZULKA,ODETTE,SOC,14389.0
1,02,AISNE,2.0,BAUR,CHARLES,UDF,13989.0
1,02,AISNE,2.0,abstentions,,,20951.0
1,02,AISNE,2.0,blancs_nuls,,,2289.0
1,02,AISNE,3.0,PATRIS,MARCEL,COM,3981.0
1,02,AISNE,3.0,LALLEMENT,PATRICE,DVD,1547.0
1,02,AISNE,3.0,PERONNE,CLAUDE,DVD,1123.0
1,02,AISNE,3.0,BIZEAU,STEPHANE,ECO,1159.0
1,02,AISNE,3.0,MEURICE,JOSE,ECO,969.0
1,02,AISNE,3.0,PERNELLE,J.LOUP,EXG,1691.0
1,02,AISNE,3.0,LA FONTAINE DE,JACQUES,FRN,7592.0
1,02,AISNE,3.0,BALLIGAND,J.PIERRE,SOC,23131.0
1,02,AISNE,3.0,MOYSE,DOMINIQUE,UDF,9015.0
1,02,AISNE,3.0,abstentions,,,20584.0
1,02,AISNE,3.0,blancs_nuls,,,2438.0
1,02,AISNE,4.0,PREVOT,ACHILLE,DVD,970.0
1,02,AISNE,4.0,DESALLANGRE,JACQUES,DVG,13518.0
1,02,AISNE,4.0,TAUPIN,MARTINE,ECO,1403.0
1,02,AISNE,4.0,GARAULT,J.CLAUDE,EXG,2305.0
1,02,AISNE,4.0,SAINT JUST DE,WALLERAND,FRN,9029.0
1,02,AISNE,4.0,CRAIGHERO,YVETTE,SOC,10570.0
1,02,AISNE,4.0,BOUQUILLON,EMMANUELLE,UDF,13703.0
1,02,AISNE,4.0,abstentions,,,22046.0
1,02,AISNE,4.0,blancs_nuls,,,2130.0
1,02,AISNE,5.0,LALOT,GERARD,COM,5212.0
1,02,AISNE,5.0,FOURNY,SYLVAIN,DVD,708.0
1,02,AISNE,5.0,REY,M.HERVE,ECO,1793.0
1,02,AISNE,5.0,BOUCHE,J.CLAUDE,EXG,2042.0
1,02,AISNE,5.0,FECCI PINATEL,COLETTE,FRN,9871.0
1,02,AISNE,5.0,CABROL,CHRISTIAN,RPR,3528.0
1,02,AISNE,5.0,JOURDAIN,DOMINIQUE,SOC,11720.0
1,02,AISNE,5.0,DUTREIL,RENAUD,UDF,14978.0
1,02,AISNE,5.0,abstentions,,,20634.0
1,02,AISNE,5.0,blancs_nuls,,,2194.0
1,03,ALLIER,1.0,MAIRAL,J.CLAUDE,COM,6620.0
1,03,ALLIER,1.0,TALON,MARTINE,DVD,942.0
1,03,ALLIER,1.0,DEBEAUD LAFOREST,ODILE,ECO,1487.0
1,03,ALLIER,1.0,DUFOUR,GEORGES,FRN,3435.0
1,03,ALLIER,1.0,PERISSOL,P.ANDRE,RPR,14077.0
1,03,ALLIER,1.0,COLCOMBET,FRANCOIS,SOC,12712.0
1,03,ALLIER,1.0,abstentions,,,16849.0
1,03,ALLIER,1.0,blancs_nuls,,,2121.0
1,03,ALLIER,2.0,GOLDBERG,PIERRE,COM,17180.0
1,03,ALLIER,2.0,GUILLAUMIN,MONIQUE,DIV,1121.0
1,03,ALLIER,2.0,GERINIER,ANDRE,DVD,1640.0
1,03,ALLIER,2.0,MISSONNIER,JACQUES,ECO,1477.0
1,03,ALLIER,2.0,VUARCHEX,LUCETTE,FRN,3879.0
1,03,ALLIER,2.0,GOUX,GINETTE,SOC,7096.0
1,03,ALLIER,2.0,GRAVIER,JEAN,UDF,10766.0
1,03,ALLIER,2.0,abstentions,,,20965.0
1,03,ALLIER,2.0,blancs_nuls,,,2698.0
1,03,ALLIER,3.0,LAJOINIE,ANDRE,COM,15882.0
1,03,ALLIER,3.0,VAULX DE,FRANCOIS,DVD,1637.0
1,03,ALLIER,3.0,MOURY,DANIELE,ECO,2135.0
1,03,ALLIER,3.0,BERNARD,JACQUES,ECO,1136.0
1,03,ALLIER,3.0,COMPAGNON,ALAIN,FRN,4559.0
1,03,ALLIER,3.0,MALLOT,JEAN,SOC,7804.0
1,03,ALLIER,3.0,COULON,BERNARD,UDF,15599.0
1,03,ALLIER,3.0,abstentions,,,18637.0
1,03,ALLIER,3.0,blancs_nuls,,,2742.0
1,03,ALLIER,4.0,BARDET,RENE,COM,6176.0
1,03,ALLIER,4.0,DEBRABANT,J.LUC,DVD,2142.0
1,03,ALLIER,4.0,QUILLERET,JEAN,ECO,2669.0
1,03,ALLIER,4.0,MAYADOUX,JACQUES,FRN,6484.0
1,03,ALLIER,4.0,CHARASSE,GERARD,PRS,11222.0
1,03,ALLIER,4.0,MALHURET,CLAUDE,UDF,11506.0
1,03,ALLIER,4.0,abstentions,,,20288.0
1,03,ALLIER,4.0,blancs_nuls,,,2629.0
1,04,ALPES DE HAUTE PROVENCE,1.0,PAUL,GERARD,COM,4158.0
1,04,ALPES DE HAUTE PROVENCE,1.0,TRIOLET,JEAN,DIV,301.0
1,04,ALPES DE HAUTE PROVENCE,1.0,ESPIC,ROGER,DVD,785.0
1,04,ALPES DE HAUTE PROVENCE,1.0,ROCHE,CLAUDE,DVG,221.0
1,04,ALPES DE HAUTE PROVENCE,1.0,CAMBEFORT,P.ALAIN,ECO,1747.0
1,04,ALPES DE HAUTE PROVENCE,1.0,CIRGUE,BRIGITTE,ECO,851.0
1,04,ALPES DE HAUTE PROVENCE,1.0,NAEGELLEN,BERNARD,FRN,4757.0
1,04,ALPES DE HAUTE PROVENCE,1.0,BIANCO,J.LOUIS,SOC,10198.0
1,04,ALPES DE HAUTE PROVENCE,1.0,GALIZI,FRANCIS,UDF,10045.0
1,04,ALPES DE HAUTE PROVENCE,1.0,abstentions,,,15516.0
1,04,ALPES DE HAUTE PROVENCE,1.0,blancs_nuls,,,1833.0
1,04,ALPES DE HAUTE PROVENCE,2.0,BRESSAND,RAYMOND,COM,4823.0
1,04,ALPES DE HAUTE PROVENCE,2.0,CARVOU,SERGE,DIV,488.0
1,04,ALPES DE HAUTE PROVENCE,2.0,MANENT,GEORGES,DIV,561.0
1,04,ALPES DE HAUTE PROVENCE,2.0,BRUN BOURLIER,M.CHRISTINE,DVD,1474.0
1,04,ALPES DE HAUTE PROVENCE,2.0,MORUCCI,ALAIN,DVG,421.0
1,04,ALPES DE HAUTE PROVENCE,2.0,ARRAZAU,ALFRED,ECO,611.0
1,04,ALPES DE HAUTE PROVENCE,2.0,LABEYRIE,ANTOINE,ECO,1379.0
1,04,ALPES DE HAUTE PROVENCE,2.0,ORNANO D',MIREILLE,FRN,5671.0
1,04,ALPES DE HAUTE PROVENCE,2.0,HONDE,ROBERT,PRS,8330.0
1,04,ALPES DE HAUTE PROVENCE,2.0,DELMAR,PIERRE,RPR,10363.0
1,04,ALPES DE HAUTE PROVENCE,2.0,abstentions,,,15761.0
1,04,ALPES DE HAUTE PROVENCE,2.0,blancs_nuls,,,1901.0
1,05,HAUTES ALPES,1.0,VERCUEIL,FLORENCE,COM,3342.0
1,05,HAUTES ALPES,1.0,LEO,CORINNE,DIV,484.0
1,05,HAUTES ALPES,1.0,MASSE,DANIEL,DIV,137.0
1,05,HAUTES ALPES,1.0,ARNAUD,CLAUDE,DVD,935.0
1,05,HAUTES ALPES,1.0,CHELLI,LINA,ECO,562.0
1,05,HAUTES ALPES,1.0,MARSAUCHE,PATRICK,ECO,1703.0
1,05,HAUTES ALPES,1.0,MATTEI,MICHEL,FRN,3907.0
1,05,HAUTES ALPES,1.0,MARTINEZ,HENRIETTE,RPR,11027.0
1,05,HAUTES ALPES,1.0,CHEVALLIER,DANIEL,SOC,10230.0
1,05,HAUTES ALPES,1.0,abstentions,,,14656.0
1,05,HAUTES ALPES,1.0,blancs_nuls,,,1969.0
1,05,HAUTES ALPES,2.0,GUARDABASCIO,ANTOINE,COM,1886.0
1,05,HAUTES ALPES,2.0,TANNIOU,GERALD,DIV,243.0
1,05,HAUTES ALPES,2.0,PIERRE,J.LUC,DVD,641.0
1,05,HAUTES ALPES,2.0,GIRAUD,JOEL,DVG,3947.0
1,05,HAUTES ALPES,2.0,MARCELLI,JACQUES,ECO,345.0
1,05,HAUTES ALPES,2.0,GASDON,HERVE,ECO,1206.0
1,05,HAUTES ALPES,2.0,BICKERS GARCIA,VANESSA,FRN,2894.0
1,05,HAUTES ALPES,2.0,OLLIER,PATRICK,RPR,8213.0
1,05,HAUTES ALPES,2.0,MUSSON,ALAIN,SOC,5208.0
1,05,HAUTES ALPES,2.0,abstentions,,,12686.0
1,05,HAUTES ALPES,2.0,blancs_nuls,,,1443.0
1,06,ALPES MARITIMES,1.0,VICTOR,JACQUES,COM,3410.0
1,06,ALPES MARITIMES,1.0,SACOMAN,ISABELLE,DIV,232.0
1,06,ALPES MARITIMES,1.0,COTTA,MICHEL,DIV,318.0
1,06,ALPES MARITIMES,1.0,ICART,JEAN,DVD,1513.0
1,06,ALPES MARITIMES,1.0,GOVERNATORI,J.MARC,DVD,1560.0
1,06,ALPES MARITIMES,1.0,GUILLON,EMMANUEL,DVD,721.0
1,06,ALPES MARITIMES,1.0,GRINDA,YVON,DVG,212.0
1,06,ALPES MARITIMES,1.0,NOBLE,JEAN,DVG,165.0
1,06,ALPES MARITIMES,1.0,RIGOLAT,JOEL,ECO,772.0
1,06,ALPES MARITIMES,1.0,CANGEMI,ANNA,ECO,553.0
1,06,ALPES MARITIMES,1.0,JOURDAN,ROLAND,EXD,108.0
1,06,ALPES MARITIMES,1.0,SCHLIGLER,NICOLE,EXG,586.0
1,06,ALPES MARITIMES,1.0,VAILLY,JOELLE,EXG,455.0
1,06,ALPES MARITIMES,1.0,GOST,J.PIERRE,FRN,8792.0
1,06,ALPES MARITIMES,1.0,ALLEMAND,PATRICK,SOC,6719.0
1,06,ALPES MARITIMES,1.0,EHRMANN,CHARLES,UDF,7846.0
1,06,ALPES MARITIMES,1.0,abstentions,,,26523.0
1,06,ALPES MARITIMES,1.0,blancs_nuls,,,1277.0
1,06,ALPES MARITIMES,2.0,MONTICELLI,SIMONE,COM,2165.0
1,06,ALPES MARITIMES,2.0,PEBEYRE,BRUNO,DIV,876.0
1,06,ALPES MARITIMES,2.0,VARENNES,PIERRE,DIV,62.0
1,06,ALPES MARITIMES,2.0,GRAMMATICO,JOSEPH,DVD,1501.0
1,06,ALPES MARITIMES,2.0,CICCOLINI,JOSEPH,DVG,305.0
1,06,ALPES MARITIMES,2.0,RAZEAU,CLAUDINE,ECO,682.0
1,06,ALPES MARITIMES,2.0,ALLEGRET,R.MARIE,ECO,415.0
1,06,ALPES MARITIMES,2.0,THIEMONGE,JEANNINE,ECO,1111.0
1,06,ALPES MARITIMES,2.0,BRINCAT,MARC,EXD,225.0
1,06,ALPES MARITIMES,2.0,DANGEL,LAURENCE,EXG,397.0
1,06,ALPES MARITIMES,2.0,DESVIGNES,CHRISTIAN,FRN,8440.0
1,06,ALPES MARITIMES,2.0,PEYRAT,JACQUES,RPR,13022.0
1,06,ALPES MARITIMES,2.0,MOTTARD,PATRICK,SOC,7876.0
1,06,ALPES MARITIMES,2.0,abstentions,,,29715.0
1,06,ALPES MARITIMES,2.0,blancs_nuls,,,1331.0
1,06,ALPES MARITIMES,3.0,BROCH,LOUIS,COM,4923.0
1,06,ALPES MARITIMES,3.0,ONOFRIO D,DELPHINE,DIV,395.0
1,06,ALPES MARITIMES,3.0,ROCCA SERRA DE,JACQUES,DVD,1836.0
1,06,ALPES MARITIMES,3.0,KAIBI,PATRICK,DVG,143.0
1,06,ALPES MARITIMES,3.0,TCHERNATINSKY,CLAUDE,DVG,269.0
1,06,ALPES MARITIMES,3.0,MIRAN,PATRICE,ECO,760.0
1,06,ALPES MARITIMES,3.0,BERGERON,BRIGITTE,ECO,864.0
1,06,ALPES MARITIMES,3.0,RECROSIO,LUCIEN,ECO,747.0
1,06,ALPES MARITIMES,3.0,CAEL,HERVE,EXD,416.0
1,06,ALPES MARITIMES,3.0,DELLA SUDDA,BRUNO,EXG,386.0
1,06,ALPES MARITIMES,3.0,SCHENARDI,J.PIERRE,FRN,10164.0
1,06,ALPES MARITIMES,3.0,MATRINGE,MICHELE,SOC,7436.0
1,06,ALPES MARITIMES,3.0,SALLES,RUDY,UDF,11845.0
1,06,ALPES MARITIMES,3.0,abstentions,,,30691.0
1,06,ALPES MARITIMES,3.0,blancs_nuls,,,1357.0
1,06,ALPES MARITIMES,4.0,CUCINELLI,J.MICHEL,COM,3585.0
1,06,ALPES MARITIMES,4.0,DI STEFANO,LOUISE,DIV,223.0
1,06,ALPES MARITIMES,4.0,GAUTHIER,PHILIPPE,DVD,773.0
1,06,ALPES MARITIMES,4.0,MORELLI,PHILIPPE,DVG,140.0
1,06,ALPES MARITIMES,4.0,BONNET,M.HELENE,ECO,483.0
1,06,ALPES MARITIMES,4.0,OUTREQUIN,PHILIPPE,ECO,792.0
1,06,ALPES MARITIMES,4.0,BORFIGA,M.SYLVIE,ECO,263.0
1,06,ALPES MARITIMES,4.0,CANE,ALAIN,EXD,176.0
1,06,ALPES MARITIMES,4.0,FERRUCCIO,PATRICK,EXG,354.0
1,06,ALPES MARITIMES,4.0,HERVE,ALAIN,EXG,729.0
1,06,ALPES MARITIMES,4.0,GUBERNATIS DE,GERARD,FRN,8675.0
1,06,ALPES MARITIMES,4.0,GUIBAL,J.CLAUDE,RPR,11327.0
1,06,ALPES MARITIMES,4.0,GERARD LOIZZO,PASCALE,SOC,7000.0
1,06,ALPES MARITIMES,4.0,BECK,XAVIER,UDF,7755.0
1,06,ALPES MARITIMES,4.0,abstentions,,,24529.0
1,06,ALPES MARITIMES,4.0,blancs_nuls,,,1542.0
1,06,ALPES MARITIMES,5.0,TUJAGUE,FRANCIS,COM,8442.0
1,06,ALPES MARITIMES,5.0,RETALI,GERALD,DIV,173.0
1,06,ALPES MARITIMES,5.0,SALICETI,HELENE,DVD,1057.0
1,06,ALPES MARITIMES,5.0,PARIS,M.MADELEINE,DVD,34.0
1,06,ALPES MARITIMES,5.0,NICOLAS,JEAN,DVG,422.0
1,06,ALPES MARITIMES,5.0,GIUJUZZA,ANNE,DVG,225.0
1,06,ALPES MARITIMES,5.0,HVIDSTEN,AXEL,ECO,718.0
1,06,ALPES MARITIMES,5.0,ODETTI,LYDIE,ECO,2.0
1,06,ALPES MARITIMES,5.0,ROBERT,XAVIER,ECO,1658.0
1,06,ALPES MARITIMES,5.0,BRUN,DANIEL,ECO,549.0
1,06,ALPES MARITIMES,5.0,MASINGUE,YVES,EXD,253.0
1,06,ALPES MARITIMES,5.0,GAZUT,ROBERT,FRN,11129.0
1,06,ALPES MARITIMES,5.0,ESTROSI,CHRISTIAN,RPR,15295.0
1,06,ALPES MARITIMES,5.0,CUTURELLO,PAUL,SOC,9388.0
1,06,ALPES MARITIMES,5.0,abstentions,,,28483.0
1,06,ALPES MARITIMES,5.0,blancs_nuls,,,2340.0
1,06,ALPES MARITIMES,6.0,PAPI,MARIUS,COM,5722.0
1,06,ALPES MARITIMES,6.0,GARCIA,HENRI,DIV,293.0
1,06,ALPES MARITIMES,6.0,OLLIVIER,J.YVES,DIV,717.0
1,06,ALPES MARITIMES,6.0,LUCA,LIONNEL,DVD,14226.0
1,06,ALPES MARITIMES,6.0,MARCHAL,MICHELE,DVG,180.0
1,06,ALPES MARITIMES,6.0,ANDREA,GENEVIEVE,ECO,358.0
1,06,ALPES MARITIMES,6.0,MUSSI,PHILIPPE,ECO,921.0
1,06,ALPES MARITIMES,6.0,VIALLON,M.LOUISE,ECO,403.0
1,06,ALPES MARITIMES,6.0,CADENEL,M.JOSE,ECO,456.0
1,06,ALPES MARITIMES,6.0,TOUZE,J.FRANCOIS,EXD,740.0
1,06,ALPES MARITIMES,6.0,PETARD,CHRISTIAN,EXG,860.0
1,06,ALPES MARITIMES,6.0,RIPOLL,J.PAUL,FRN,11719.0
1,06,ALPES MARITIMES,6.0,SAUVAIGO,SUZANNE,RPR,9842.0
1,06,ALPES MARITIMES,6.0,BOIVIN,ODETTE,SOC,8841.0
1,06,ALPES MARITIMES,6.0,abstentions,,,27868.0
1,06,ALPES MARITIMES,6.0,blancs_nuls,,,1736.0
1,06,ALPES MARITIMES,7.0,PIEL,GERARD,COM,3359.0
1,06,ALPES MARITIMES,7.0,HAGOPIAN,ELISE,DIV,340.0
1,06,ALPES MARITIMES,7.0,AGIUS,PAUL,DIV,484.0
1,06,ALPES MARITIMES,7.0,BOURRAT,GERARD,DVD,3086.0
1,06,ALPES MARITIMES,7.0,CALITRI,J.NICOLA,DVD,74.0
1,06,ALPES MARITIMES,7.0,GREUET,LAURE,ECO,514.0
1,06,ALPES MARITIMES,7.0,BOUHEZZA,OUAHID,ECO,452.0
1,06,ALPES MARITIMES,7.0,GILLARD,MAURICE,ECO,480.0
1,06,ALPES MARITIMES,7.0,MARQUES,PASCAL,ECO,2104.0
1,06,ALPES MARITIMES,7.0,LIBRE,YVES,EXD,295.0
1,06,ALPES MARITIMES,7.0,CREPIN,ROBERT,FRN,12134.0
1,06,ALPES MARITIMES,7.0,GUICHARD,J.MICHEL,SOC,8486.0
1,06,ALPES MARITIMES,7.0,LEONETTI,J.ANTOINE,UDF,20252.0
1,06,ALPES MARITIMES,7.0,abstentions,,,30028.0
1,06,ALPES MARITIMES,7.0,blancs_nuls,,,1716.0
1,06,ALPES MARITIMES,8.0,MEYFFRET,CLAUDE,COM,2255.0
1,06,ALPES MARITIMES,8.0,MOULIN,CHRISTIANE,DIV,307.0
1,06,ALPES MARITIMES,8.0,BRUN,MICHEL,DIV,33.0
1,06,ALPES MARITIMES,8.0,LE BRIZOUAL,MONIQUE,DIV,175.0
1,06,ALPES MARITIMES,8.0,LEROY,HENRI,DVD,4432.0
1,06,ALPES MARITIMES,8.0,CALMETTES,ROBERT,DVD,1008.0
1,06,ALPES MARITIMES,8.0,VOGEL,PAUL,DVD,1877.0
1,06,ALPES MARITIMES,8.0,DESENCLOS,ALBERT,DVD,343.0
1,06,ALPES MARITIMES,8.0,TASSY,BRUNO,DVD,192.0
1,06,ALPES MARITIMES,8.0,LAJAUNIE,F.MARIE,DVG,81.0
1,06,ALPES MARITIMES,8.0,CHEREL,DIDIER,ECO,1881.0
1,06,ALPES MARITIMES,8.0,VILLON,J.PIERRE,ECO,210.0
1,06,ALPES MARITIMES,8.0,REESE,OLIVIER,EXD,138.0
1,06,ALPES MARITIMES,8.0,PEYRON,ALBERT,FRN,10153.0
1,06,ALPES MARITIMES,8.0,MOSSE,JANY,PRS,4346.0
1,06,ALPES MARITIMES,8.0,MOREAU,LOUISE,UDF,9317.0
1,06,ALPES MARITIMES,8.0,abstentions,,,20976.0
1,06,ALPES MARITIMES,8.0,blancs_nuls,,,1353.0
1,06,ALPES MARITIMES,9.0,EUZIERE,PAUL,COM,3671.0
1,06,ALPES MARITIMES,9.0,GARIGLIO,FABIENNE,DIV,327.0
1,06,ALPES MARITIMES,9.0,LELEUX,J.PIERRE,DVD,5010.0
1,06,ALPES MARITIMES,9.0,BACHELET,PIERRE,DVD,5915.0
1,06,ALPES MARITIMES,9.0,HUET,ROBERTE,DVG,547.0
1,06,ALPES MARITIMES,9.0,ASCHIERI,ANDRE,ECO,15696.0
1,06,ALPES MARITIMES,9.0,GIOANNI,JOCELYNE,ECO,536.0
1,06,ALPES MARITIMES,9.0,MBECHEZI,MOHAMED,ECO,303.0
1,06,ALPES MARITIMES,9.0,HEBRARD,MICHELLE,ECO,692.0
1,06,ALPES MARITIMES,9.0,QUESNEY,ANDRE,EXD,270.0
1,06,ALPES MARITIMES,9.0,VIDAL,DOMINIQUE,FRN,12424.0
1,06,ALPES MARITIMES,9.0,TABAROT,MICHELE,UDF,10822.0
1,06,ALPES MARITIMES,9.0,abstentions,,,29986.0
1,06,ALPES MARITIMES,9.0,blancs_nuls,,,1669.0
1,07,ARDECHE,1.0,COTTA,ROBERT,COM,6347.0
1,07,ARDECHE,1.0,LAVIS,CHRISTIAN,DVD,2876.0
1,07,ARDECHE,1.0,BOSSAN,PAUL,DVD,1149.0
1,07,ARDECHE,1.0,JUNG,JACQUES,ECO,1754.0
1,07,ARDECHE,1.0,SMADJA,J. PHILIPPE,ECO,1140.0
1,07,ARDECHE,1.0,VANHOVE,J. JOEL,FRN,6157.0
1,07,ARDECHE,1.0,TERRASSE,PASCAL,SOC,13859.0
1,07,ARDECHE,1.0,IMBERT,AMEDEE,UDF,10188.0
1,07,ARDECHE,1.0,abstentions,,,19613.0
1,07,ARDECHE,1.0,blancs_nuls,,,2319.0
1,07,ARDECHE,2.0,LAYBROS,PATRICK,COM,3644.0
1,07,ARDECHE,2.0,EGEA,FRANCOIS,DIV,1238.0
1,07,ARDECHE,2.0,RIVIERE DE LA,PATRICK,DVD,2147.0
1,07,ARDECHE,2.0,WENDLINGER,STEPHANE,DVG,1193.0
1,07,ARDECHE,2.0,NUCCI,CHRISTINE,DVG,519.0
1,07,ARDECHE,2.0,RABANIT,MICHEL,ECO,2488.0
1,07,ARDECHE,2.0,BENKHELLAF,MALIKE,ECO,1028.0
1,07,ARDECHE,2.0,DESPRES,HENRY,FRN,7050.0
1,07,ARDECHE,2.0,DONDOUX,JACQUES,PRS,15473.0
1,07,ARDECHE,2.0,ARNAUD,H. JEAN,RPR,16086.0
1,07,ARDECHE,2.0,abstentions,,,25442.0
1,07,ARDECHE,2.0,blancs_nuls,,,2846.0
1,07,ARDECHE,3.0,DELAUCHE,HENRI,COM,5452.0
1,07,ARDECHE,3.0,KAPPEL,ROGER,DVD,500.0
