election_day,type,region,N,farleft,left,green,center,right,farright,other
2004-06-13,european,Guadeloupe,40930,834,2654,19430,2300,6173,716,8823
2004-06-13,european,Guyane,7264,166,934,2298,407,1935,362,1162
2004-06-13,european,Hauts-de-France,1642846,202589,491572,107924,172784,207996,230818,229163
2004-06-13,european,Ile-de-France,2737509,255509,685193,310402,345700,487186,234893,418626
2004-06-13,european,La Réunion,174161,2106,45316,4555,7389,40801,2860,71134
2004-06-13,european,Martinique,44935,3196,3443,1267,16963,3502,541,16023
2004-06-13,european,Normandie,933497,77456,280745,68078,119436,135358,100524,151900
2004-06-13,european,Nouvelle-Aquitaine,1728891,157628,555836,123694,201236,299504,123507,267486
2004-06-13,european,Occitanie,1577314,162650,487488,135478,197421,230101,150671,213505
2004-06-13,european,Pays de la Loire,1029840,66489,293943,78929,114480,141580,54896,279523
2004-06-13,european,Provence-Alpes-Côte d'Azur,1193047,102945,328160,79443,121020,211658,176115,173706
2007-04-22,president,Auvergne-Rhône-Alpes,4280147,295808,1032158,140039,859066,1359083,439101,154892
2007-04-22,president,Bourgogne-Franche-Comté,1660672,125585,406295,49223,289298,509794,213213,67264
2007-04-22,president,Bretagne,2004334,151728,564090,67511,451986,557505,143926,67588
2007-04-22,president,Centre-Val de Loire,1482534,117629,345354,40050,278177,460429,168912,71983
2007-04-22,president,Corse,153571,12451,33493,3779,18979,56819,23433,4617
2007-04-22,president,Grand Est,3118281,228424,647153,89935,587179,1012983,446952,105655
2007-04-22,president,Guadeloupe,167888,7362,64261,3596,14292,71568,5335,1474
2007-04-22,president,Guyane,35428,1477,11526,1038,4431,14650,1953,353
2007-04-22,president,Hauts-de-France,3384162,358543,824939,81819,501947,970443,504598,141873
2007-04-22,president,Ile-de-France,5712287,345179,1593001,147330,1143075,1931425,430562,121715
2007-04-22,president,La Réunion,357965,24352,165464,9455,47574,89800,17469,3851
2007-04-22,president,Martinique,159378,7007,77266,2867,13715,53825,3367,1331
2007-04-22,president,Normandie,1964081,174449,466664,55783,368542,590321,215181,93141
