election_day,type,region,N,farleft,left,green,center,right,farright,other
2004-03-21,regional,Grand Est,2034482,85943.0,527846.0,124145.0,683828.0,0.0,375167.0,237553.0
2004-03-21,regional,Guadeloupe,148943,0.0,74133.0,4307.0,56025.0,0.0,0.0,14478.0
2004-03-21,regional,Guyane,27119,0.0,6618.0,1316.0,6595.0,0.0,0.0,12590.0
2004-03-21,regional,Hauts-de-France,2388715,132863.0,951618.0,101808.0,657353.0,0.0,466848.0,78225.0
2004-03-21,regional,Ile-de-France,3663371,146148.0,1434378.0,91885.0,1498811.0,0.0,448983.0,43166.0
2004-03-21,regional,La Réunion,274162,4249.0,138156.0,0.0,70375.0,0.0,0.0,61382.0
2004-03-21,regional,Martinique,123390,3845.0,0.0,0.0,25552.0,0.0,0.0,93993.0
2004-03-21,regional,Normandie,1322403,85590.0,474520.0,30202.0,471080.0,0.0,198925.0,62086.0
2004-03-21,regional,Nouvelle-Aquitaine,2441940,111965.0,1065561.0,20531.0,820101.0,0.0,265079.0,158703.0
2004-03-21,regional,Occitanie,2268478,205710.0,884927.0,51089.0,669589.0,0.0,324629.0,132534.0
2004-03-21,regional,Pays de la Loire,1393719,84567.0,518475.0,0.0,619814.0,0.0,135390.0,35473.0
2004-03-21,regional,Provence-Alpes-Côte d'Azur,1808934,48680.0,633341.0,51543.0,472035.0,0.0,415169.0,188166.0
2004-06-13,european,Auvergne-Rhône-Alpes,1940635,157000.0,583452.0,165083.0,244947.0,360058.0,188626.0,241469.0
2004-06-13,european,Bourgogne-Franche-Comté,818138,56187.0,260710.0,65375.0,85455.0,140611.0,91843.0,117957.0
2004-06-13,european,Bretagne,994331,74525.0,325696.0,82015.0,137277.0,142534.0,52588.0,179696.0
2004-06-13,european,Centre-Val de Loire,732039,63004.0,210101.0,46769.0,80611.0,138596.0,86157.0,106801.0
2004-06-13,european,Corse,53126,7135.0,14290.0,3545.0,2980.0,13806.0,4526.0,6844.0
2004-06-13,european,Grand Est,1406738,81477.0,371279.0,138278.0,190477.0,251318.0,179009.0,194900.0
2004-06-13,european,Guadeloupe,40930,834.0,2654.0,19430.0,2300.0,6173.0,716.0,8823.0
2004-06-13,european,Guyane,7264,166.0,934.0,2298.0,407.0,1935.0,362.0,1162.0
2004-06-13,european,Hauts-de-France,1642846,202589.0,491572.0,107924.0,172784.0,207996.0,230818.0,229163.0
2004-06-13,european,Ile-de-France,2737509,255509.0,685193.0,310402.0,345700.0,487186.0,234893.0,418626.0
2004-06-13,european,La Réunion,174161,2106.0,45316.0,4555.0,7389.0,40801.0,2860.0,71134.0
2004-06-13,european,Martinique,44935,3196.0,3443.0,1267.0,16963.0,3502.0,541.0,16023.0
2004-06-13,european,Normandie,933497,77456.0,280745.0,68078.0,119436.0,135358.0,100524.0,151900.0
2004-06-13,european,Nouvelle-Aquitaine,1728891,157628.0,555836.0,123694.0,201236.0,299504.0,123507.0,267486.0
2004-06-13,european,Occitanie,1577314,162650.0,487488.0,135478.0,197421.0,230101.0,150671.0,213505.0
2004-06-13,european,Pays de la Loire,1029840,66489.0,293943.0,78929.0,114480.0,141580.0,54896.0,279523.0
2004-06-13,european,Provence-Alpes-Côte d'Azur,1193047,102945.0,328160.0,79443.0,121020.0,211658.0,176115.0,173706.0
2007-04-22,president,Auvergne-Rhône-Alpes,4280147,295808.0,1032158.0,140039.0,859066.0,1359083.0,439101.0,154892.0
2007-04-22,president,Bourgogne-Franche-Comté,1660672,125585.0,406295.0,49223.0,289298.0,509794.0,213213.0,67264.0
2007-04-22,president,Bretagne,2004334,151728.0,564090.0,67511.0,451986.0,557505.0,143926.0,67588.0
2007-04-22,president,Centre-Val de Loire,1482534,117629.0,345354.0,40050.0,278177.0,460429.0,168912.0,71983.0
2007-04-22,president,Corse,153571,12451.0,33493.0,3779.0,18979.0,56819.0,23433.0,4617.0
2007-04-22,president,Grand Est,3118281,228424.0,647153.0,89935.0,587179.0,1012983.0,446952.0,105655.0
2007-04-22,president,Guadeloupe,167888,7362.0,64261.0,3596.0,14292.0,71568.0,5335.0,1474.0
2007-04-22,president,Guyane,35428,1477.0,11526.0,1038.0,4431.0,14650.0,1953.0,353.0
2007-04-22,president,Hauts-de-France,3384162,358543.0,824939.0,81819.0,501947.0,970443.0,504598.0,141873.0
2007-04-22,president,Ile-de-France,5712287,345179.0,1593001.0,147330.0,1143075.0,1931425.0,430562.0,121715.0
2007-04-22,president,La Réunion,357965,24352.0,165464.0,9455.0,47574.0,89800.0,17469.0,3851.0
2007-04-22,president,Martinique,159378,7007.0,77266.0,2867.0,13715.0,53825.0,3367.0,1331.0
2007-04-22,president,Normandie,1964081,174449.0,466664.0,55783.0,368542.0,590321.0,215181.0,93141.0
2007-04-22,president,Nouvelle-Aquitaine,3495768,263777.0,1021471.0,99245.0,693876.0,960115.0,295264.0,162020.0
2007-04-22,president,Occitanie,3284517,240229.0,937549.0,107143.0,576384.0,928111.0,369235.0,125866.0
2007-04-22,president,Pays de la Loire,2160340,148905.0,552274.0,64762.0,457569.0,636937.0,158843.0,141050.0
2007-04-22,president,Provence-Alpes-Côte d'Azur,2729591,176706.0,579036.0,75302.0,419162.0,1010235.0,377830.0,91320.0
2007-06-10,legislative,Auvergne-Rhône-Alpes,2977701,229325.0,739348.0,135942.0,251309.0,1297284.0,129054.0,195439.0
2007-06-10,legislative,Bourgogne-Franche-Comté,1206072,74141.0,337612.0,45532.0,74567.0,540819.0,58657.0,74744.0
2007-06-10,legislative,Bretagne,1480803,103739.0,454546.0,64693.0,131266.0,591174.0,34060.0,101325.0
2007-06-10,legislative,Centre-Val de Loire,1079493,87459.0,276221.0,37755.0,76448.0,465964.0,55485.0,80161.0
2007-06-10,legislative,Corse,123492,9423.0,27494.0,1988.0,0.0,52747.0,3457.0,28383.0
2007-06-10,legislative,Grand Est,2102850,120340.0,439087.0,85354.0,180757.0,1026738.0,121816.0,128758.0
2007-06-10,legislative,Guadeloupe,95901,1108.0,14889.0,4126.0,1933.0,18327.0,0.0,55518.0
2007-06-10,legislative,Guyane,22940,0.0,0.0,1380.0,1054.0,8084.0,295.0,12127.0
2007-06-10,legislative,Hauts-de-France,2445585,261880.0,689498.0,76560.0,135046.0,902965.0,159163.0,220473.0
2007-06-10,legislative,Ile-de-France,3996562,336203.0,945366.0,196945.0,377796.0,1714583.0,149872.0,275797.0
2007-06-10,legislative,La Réunion,247911,2278.0,57275.0,5554.0,5656.0,70831.0,253.0,106064.0
2007-06-10,legislative,Martinique,97933,972.0,13050.0,0.0,0.0,25998.0,0.0,57913.0
2007-06-10,legislative,Normandie,1423922,124365.0,384483.0,47204.0,87307.0,611801.0,58424.0,110338.0
2007-06-10,legislative,Nouvelle-Aquitaine,2602722,180296.0,862017.0,99530.0,216657.0,995796.0,75853.0,172573.0
2007-06-10,legislative,Occitanie,2412377,225791.0,739712.0,80981.0,171116.0,951959.0,106890.0,135928.0
2007-06-10,legislative,Pays de la Loire,1552701,85027.0,423438.0,84076.0,135741.0,643887.0,35705.0,144827.0
2007-06-10,legislative,Provence-Alpes-Côte d'Azur,1948995,157135.0,370011.0,86608.0,124876.0,930375.0,122873.0,157117.0
2008-03-09,department,Auvergne-Rhône-Alpes,1591283,136727.0,414909.0,96640.0,125574.0,369630.0,87715.0,360088.0
2008-03-09,department,Bourgogne-Franche-Comté,682349,53148.0,193545.0,21746.0,26891.0,204774.0,33949.0,148296.0
2008-03-09,department,Bretagne,772956,67885.0,242687.0,32484.0,34447.0,140470.0,8483.0,246500.0
2008-03-09,department,Centre-Val de Loire,594166,58800.0,132081.0,18626.0,60715.0,156221.0,31111.0,136612.0
2008-03-09,department,Corse,87222,5220.0,12496.0,690.0,1303.0,13426.0,807.0,53280.0
2008-03-09,department,Grand Est,1200974,69083.0,290862.0,47272.0,69619.0,385669.0,86516.0,251953.0
2008-03-09,department,Guadeloupe,80735,4535.0,16690.0,465.0,0.0,5004.0,0.0,54041.0
2008-03-09,department,Guyane,18513,0.0,258.0,361.0,0.0,2089.0,0.0,15805.0
2008-03-09,department,Hauts-de-France,1292180,164936.0,414281.0,47226.0,79838.0,217770.0,108752.0,259377.0
2008-03-09,department,Ile-de-France,1504429,158033.0,368788.0,85976.0,114328.0,474054.0,71127.0,232123.0
2008-03-09,department,La Réunion,144618,15154.0,30326.0,521.0,7752.0,29770.0,0.0,61095.0
2008-03-09,department,Martinique,71648,0.0,2276.0,0.0,0.0,6693.0,0.0,62679.0
2008-03-09,department,Normandie,787381,80613.0,217080.0,25235.0,48521.0,127648.0,21617.0,266667.0
2008-03-09,department,Nouvelle-Aquitaine,1407078,119550.0,523043.0,64839.0,89663.0,300231.0,33792.0,275960.0
2008-03-09,department,Occitanie,1311464,138383.0,496152.0,64180.0,79073.0,231310.0,71497.0,230869.0
2008-03-09,department,Pays de la Loire,790935,47117.0,182033.0,64902.0,63855.0,134025.0,15498.0,283505.0
2008-03-09,department,Provence-Alpes-Côte d'Azur,974354,106315.0,210911.0,26193.0,50137.0,339391.0,73375.0,168032.0
2009-06-07,european,Auvergne-Rhône-Alpes,2008368,233099.0,322038.0,369307.0,168224.0,573388.0,127410.0,214902.0
2009-06-07,european,Bourgogne-Franche-Comté,793011,96986.0,146286.0,111208.0,69035.0,228733.0,53114.0,87649.0
2009-06-07,european,Bretagne,957002,112132.0,169422.0,171796.0,92942.0,255649.0,29132.0,125929.0
2009-06-07,european,Centre-Val de Loire,704792,93282.0,111158.0,99251.0,56154.0,207206.0,41401.0,96340.0
2009-06-07,european,Corse,63576,11130.0,8254.0,15254.0,2647.0,17415.0,4183.0,4693.0
2009-06-07,european,Grand Est,1381890,142459.0,228685.0,199412.0,136221.0,406283.0,111558.0,157272.0
2009-06-07,european,Guadeloupe,39219,0.0,6587.0,20150.0,1116.0,9100.0,0.0,2266.0
2009-06-07,european,Guyane,7739,0.0,1021.0,1917.0,731.0,2359.0,0.0,1711.0
2009-06-07,european,Hauts-de-France,1564160,244293.0,297774.0,172472.0,127765.0,364669.0,178974.0,178213.0
2009-06-07,european,Ile-de-France,2798120,296114.0,379908.0,583690.0,238341.0,828172.0,123199.0,348696.0
2009-06-07,european,La Réunion,161854,0.0,37210.0,21615.0,13399.0,38448.0,0.0,51182.0
2009-06-07,european,Martinique,37265,0.0,5395.0,3799.0,3378.0,8984.0,0.0,15709.0
2009-06-07,european,Normandie,919980,121861.0,151759.0,128107.0,87717.0,236887.0,74035.0,119614.0
2009-06-07,european,Nouvelle-Aquitaine,1725663,237788.0,328983.0,254399.0,150732.0,461140.0,74860.0,217761.0
2009-06-07,european,Occitanie,1660640,254139.0,290403.0,266956.0,131533.0,448021.0,109671.0,159917.0
2009-06-07,european,Pays de la Loire,1029085,103326.0,162744.0,169468.0,81825.0,284920.0,28467.0,198335.0
2009-06-07,european,Provence-Alpes-Côte d'Azur,1264531,145318.0,170232.0,205937.0,80383.0,384178.0,135687.0,142796.0
2010-03-14,regional,Auvergne-Rhône-Alpes,2186590,267601.0,567889.0,355647.0,95433.0,588146.0,279407.0,32467.0
2010-03-14,regional,Bourgogne-Franche-Comté,915075,63924.0,306505.0,88091.0,33494.0,277008.0,114590.0,31463.0
2010-03-14,regional,Bretagne,1098553,82053.0,408551.0,134161.0,58847.0,260731.0,67895.0,86315.0
2010-03-14,regional,Centre-Val de Loire,783653,88209.0,221168.0,91365.0,39803.0,227392.0,87872.0,27844.0
2010-03-14,regional,Corse,130775,13107.0,0.0,0.0,5554.0,27903.0,5438.0,78773.0
