"Libellé";"Enquête mensuelle de conjoncture auprès des ménages - Indicateur synthétique de confiance des ménages (premier facteur des soldes d'opinion de l'enquête) - Données CVS";"Codes"
"idBank";"001587668";""
"Dernière mise à jour";"28/09/2021 08:45";""
"Période";"";""
"1998-07";"114";"A"
"1998-06";"110";"A"
"1998-05";"111";"A"
"1998-04";"108";"A"
"1998-03";"108";"A"
"1998-02";"104";"A"
"1998-01";"103";"A"
"1997-12";"106";"A"
"1997-11";"106";"A"
"1997-10";"107";"A"
"1997-09";"107";"A"
"1997-08";"105";"A"
"1997-07";"104";"A"
"1997-06";"105";"A"
"1997-05";"98";"A"
"1997-04";"99";"A"
"1997-03";"98";"A"
"1997-02";"99";"A"
"1997-01";"98";"A"
"1996-12";"97";"A"
"1996-11";"96";"A"
"1996-10";"94";"A"
"1996-09";"93";"A"
"1996-08";"93";"A"
"1996-07";"93";"A"
"1996-06";"94";"A"
"1996-05";"94";"A"
"1996-04";"96";"A"
"1996-03";"97";"A"
"1996-02";"96";"A"
"1996-01";"96";"A"
"1995-12";"93";"A"
"1995-11";"97";"A"
"1995-10";"98";"A"
"1995-09";"101";"A"
"1995-08";"105";"A"
"1995-07";"109";"A"
"1995-06";"111";"A"
"1995-05";"110";"A"
"1995-04";"108";"A"
"1995-03";"107";"A"
"1995-02";"107";"A"
"1995-01";"107";"A"
"1994-12";"110";"A"
"1994-11";"108";"A"
"1994-10";"109";"A"
"1994-09";"109";"A"
"1994-08";"107";"A"
"1994-07";"105";"A"
"1994-06";"104";"A"
"1994-05";"105";"A"
"1994-04";"103";"A"
"1994-03";"102";"A"
"1994-02";"101";"A"
"1994-01";"101";"A"
"1993-12";"99";"A"
"1993-11";"98";"A"
"1993-10";"96";"A"
"1993-09";"95";"A"
"1993-08";"94";"A"
"1993-07";"94";"A"
"1993-06";"95";"A"
"1993-05";"95";"A"
"1993-04";"103";"A"
"1993-03";"99";"A"
"1993-02";"99";"A"
"1993-01";"99";"A"
"1992-12";"100";"A"
"1992-11";"102";"A"
"1992-10";"103";"A"
"1992-09";"101";"A"
"1992-08";"101";"A"
"1992-07";"100";"A"
"1992-06";"101";"A"
"1992-05";"102";"A"
"1992-04";"102";"A"
"1992-03";"102";"A"
"1992-02";"102";"A"
"1992-01";"100";"A"
"1991-12";"100";"A"
"1991-11";"100";"A"
"1991-10";"101";"A"
"1991-09";"101";"A"
"1991-08";"101";"A"
"1991-07";"101";"A"
"1991-06";"102";"A"
"1991-05";"103";"A"
"1991-04";"103";"A"
"1991-03";"107";"A"
"1991-02";"102";"A"
"1991-01";"102";"A"
"1990-12";"105";"A"
"1990-11";"103";"A"
"1990-10";"105";"A"
"1990-09";"103";"A"
"1990-08";"107";"A"
"1990-07";"111";"A"
"1990-06";"111";"A"
"1990-05";"108";"A"
"1990-04";"111";"A"
