"Libellé";"Dépenses de consommation Total - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes"
"1988-T2";"0.51";"A"
"1988-T1";"0.2";"A"
"1987-T4";"1.33";"A"
"1987-T3";"0.39";"A"
"1987-T2";"0.85";"A"
"1987-T1";"0.57";"A"
"1986-T4";"0.24";"A"
"1986-T3";"0.51";"A"
"1986-T2";"1.11";"A"
"1986-T1";"0.53";"A"
"1985-T4";"0.86";"A"
"1985-T3";"0.46";"A"
"1985-T2";"0.27";"A"
"1985-T1";"0.95";"A"
"1984-T4";"-0.21";"A"
"1984-T3";"0.41";"A"
"1984-T2";"0.3";"A"
"1984-T1";"0.26";"A"
"1983-T4";"0.42";"A"
"1983-T3";"-0.14";"A"
"1983-T2";"0.0";"A"
"1983-T1";"-0.11";"A"
"1982-T4";"0.93";"A"
"1982-T3";"0.52";"A"
"1982-T2";"0.51";"A"
"1982-T1";"0.79";"A"
"1981-T4";"0.97";"A"
"1981-T3";"0.23";"A"
"1981-T2";"1.0";"A"
"1981-T1";"0.15";"A"
"1980-T4";"0.4";"A"
"1980-T3";"0.41";"A"
"1980-T2";"-0.29";"A"
"1980-T1";"0.58";"A"
"1979-T4";"0.42";"A"
"1979-T3";"0.31";"A"
"1979-T2";"0.48";"A"
"1979-T1";"0.66";"A"
"1978-T4";"0.98";"A"
"1978-T3";"0.42";"A"
"1978-T2";"1.15";"A"
"1978-T1";"1.08";"A"
"1977-T4";"0.54";"A"
"1977-T3";"0.94";"A"
"1977-T2";"0.32";"A"
"1977-T1";"0.12";"A"
"1976-T4";"0.57";"A"
"1976-T3";"0.89";"A"
"1976-T2";"0.62";"A"
"1976-T1";"0.91";"A"
"1975-T4";"1.37";"A"
"1975-T3";"1.09";"A"
"1975-T2";"0.76";"A"
"1975-T1";"0.32";"A"
"1974-T4";"0.07";"A"
"1974-T3";"0.2";"A"
"1974-T2";"0.61";"A"
"1974-T1";"0.31";"A"
"1973-T4";"1.41";"A"
"1973-T3";"0.43";"A"
"1973-T2";"0.59";"A"
"1973-T1";"1.53";"A"
"1972-T4";"0.71";"A"
"1972-T3";"1.42";"A"
"1972-T2";"0.35";"A"
"1972-T1";"0.98";"A"
"1971-T4";"0.8";"A"
"1971-T3";"1.0";"A"
"1971-T2";"1.07";"A"
"1971-T1";"0.78";"A"
"1970-T4";"1.62";"A"
"1970-T3";"0.58";"A"
"1970-T2";"0.9";"A"
"1970-T1";"1.28";"A"
"1969-T4";"-0.22";"A"
"1969-T3";"0.78";"A"
"1969-T2";"1.8";"A"
"1969-T1";"0.03";"A"
"1968-T4";"1.64";"A"
"1968-T3";"3.23";"A"
"1968-T2";"-0.15";"A"
"1968-T1";"0.19";"A"
"1967-T4";"0.52";"A"
"1967-T3";"0.82";"A"
"1967-T2";"0.61";"A"
"1967-T1";"1.08";"A"
"1966-T4";"1.14";"A"
"1966-T3";"0.47";"A"
"1966-T2";"1.22";"A"
"1966-T1";"0.68";"A"
"1965-T4";"0.29";"A"
"1965-T3";"1.11";"A"
"1965-T2";"1.52";"A"
"1965-T1";"0.05";"A"
"1964-T4";"0.87";"A"
"1964-T3";"0.66";"A"
"1964-T2";"0.3";"A"
"1964-T1";"1.35";"A"
"1963-T4";"0.94";"A"
"1963-T3";"1.38";"A"
"1963-T2";"1.98";"A"
"1963-T1";"1.01";"A"
"1962-T4";"0.71";"A"
"1962-T3";"1.15";"A"
"1962-T2";"1.16";"A"
"1962-T1";"2.06";"A"
"1961-T4";"0.98";"A"
"1961-T3";"0.76";"A"
"1961-T2";"0.76";"A"
"1961-T1";"1.59";"A"
"1960-T4";"1.09";"A"
"1960-T3";"0.68";"A"
"1960-T2";"0.89";"A"
"1960-T1";"1.16";"A"
"1959-T4";"0.53";"A"
"1959-T3";"0.49";"A"
"1959-T2";"-0.06";"A"
"1959-T1";"0.62";"A"
"1958-T4";"1.0";"A"
"1958-T3";"-0.26";"A"
"1958-T2";"0.01";"A"
"1958-T1";"-0.74";"A"
"1957-T4";"0.16";"A"
"1957-T3";"0.62";"A"
"1957-T2";"0.89";"A"
"1957-T1";"0.51";"A"
"1956-T4";"0.99";"A"
"1956-T3";"1.32";"A"
"1956-T2";"1.27";"A"
"1956-T1";"1.53";"A"
"1955-T4";"1.24";"A"
"1955-T3";"1.01";"A"
"1955-T2";"1.55";"A"
"1955-T1";"1.08";"A"
"1954-T4";"0.19";"A"
"1954-T3";"0.55";"A"
"1954-T2";"0.53";"A"
"1954-T1";"0.62";"A"
"1953-T4";"0.63";"A"
"1953-T3";"0.33";"A"
"1953-T2";"1.12";"A"
"1953-T1";"1.13";"A"
"1952-T4";"0.89";"A"
"1952-T3";"0.83";"A"
"1952-T2";"0.61";"A"
"1952-T1";"1.22";"A"
"1951-T4";"0.91";"A"
"1951-T3";"1.09";"A"
"1951-T2";"0.58";"A"
"1951-T1";"1.3";"A"
"1950-T4";"1.05";"A"
"1950-T3";"2.73";"A"
"1950-T2";"1.63";"A"
"1950-T1";"";"O"
"1949-T4";"";"O"
"1949-T3";"";"O"
"1949-T2";"";"O"
"1949-T1";"";"O"
